compound_id,IC50_nM,IC50_uM,pIC50,source
667601.0,1.31,0.00131,2.8827287043442356,PubChem
24970496.0,0.533,0.000533,3.2732727909734276,PubChem
24970497.0,0.472,0.000472,3.3260580013659125,PubChem
11619763.0,0.333,0.000333,3.4775557664936803,PubChem
11696664.0,0.131,0.000131,3.8827287043442356,PubChem
24863865.0,0.209,0.00020899999999999998,3.679853713888946,PubChem
