compound_id,IC50_nM,units,IC50_uM,pIC50,source
CHEMBL4783884,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL5429059,50.12,nM,0.05012,1.2999889376778877,ChEMBL
CHEMBL5439330,100000.0,nM,100.0,-2.0,ChEMBL
CHEMBL5424516,1450.0,nM,1.45,-0.16136800223497488,ChEMBL
CHEMBL5411401,398107.17,nM,398.10717,-2.5999999993961906,ChEMBL
CHEMBL4284413,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL4795677,9230.0,nM,9.23,-0.9652017010259121,ChEMBL
CHEMBL4787277,3790.0,nM,3.79,-0.5786392099680724,ChEMBL
CHEMBL4779194,10000.0,nM,10.0,-1.0,ChEMBL
CHEMBL553,19.3,nM,0.0193,1.7144426909922261,ChEMBL
CHEMBL5430172,794328.23,nM,794.32823,-2.8999999974170256,ChEMBL
